Time/s	Potential/V	Filmthickness/m
0	1.8	9.51E-09
2000	1.8	9.62E-09
4000	1.8	9.82E-09
6000	1.8	1.00E-08
8000	1.8	1.03E-08
10000	1.8	1.05E-08
12000	1.8	1.07E-08
14000	1.8	1.10E-08
16000	1.8	1.12E-08
18000	1.8	1.14E-08
20000	1.8	1.17E-08
22000	1.8	1.19E-08
24000	1.8	1.21E-08
26000	1.8	1.23E-08
28000	1.8	1.25E-08
30000	1.8	1.27E-08
32000	1.8	1.29E-08
34000	1.8	1.30E-08
36000	1.8	1.32E-08
38000	1.8	1.34E-08
40000	1.8	1.35E-08
42000	1.8	1.36E-08
44000	1.8	1.38E-08
46000	1.8	1.39E-08
48000	1.8	1.40E-08
50000	1.8	1.42E-08
52000	1.8	1.43E-08
54000	1.8	1.44E-08
56000	1.8	1.45E-08
58000	1.8	1.46E-08
60000	1.8	1.47E-08
62000	1.8	1.47E-08
64000	1.8	1.48E-08
66000	1.8	1.49E-08
68000	1.8	1.50E-08
70000	1.8	1.51E-08
72000	1.8	1.51E-08
74000	1.8	1.52E-08
76000	1.8	1.53E-08
78000	1.8	1.53E-08
80000	1.8	1.54E-08
82000	1.8	1.54E-08
84000	1.8	1.55E-08
86000	1.8	1.55E-08
88000	1.8	1.55E-08
90000	1.8	1.56E-08
92000	1.8	1.56E-08
94000	1.8	1.57E-08
96000	1.8	1.57E-08
98000	1.8	1.57E-08
100000	1.8	1.58E-08
102000	1.8	1.58E-08
104000	1.8	1.58E-08
106000	1.8	1.58E-08
108000	1.8	1.59E-08
110000	1.8	1.59E-08
112000	1.8	1.59E-08
114000	1.8	1.59E-08
116000	1.8	1.59E-08
118000	1.8	1.60E-08
120000	1.8	1.60E-08
122000	1.8	1.60E-08
124000	1.8	1.60E-08
126000	1.8	1.60E-08
128000	1.8	1.60E-08
130000	1.8	1.60E-08
132000	1.8	1.60E-08
134000	1.8	1.60E-08
136000	1.8	1.60E-08
138000	1.8	1.61E-08
140000	1.8	1.61E-08
142000	1.8	1.61E-08
144000	1.8	1.61E-08
146000	1.8	1.61E-08
148000	1.8	1.61E-08
150000	1.8	1.61E-08
152000	1.8	1.61E-08
154000	1.8	1.61E-08
156000	1.8	1.61E-08
158000	1.8	1.61E-08
160000	1.8	1.61E-08
162000	1.8	1.61E-08
164000	1.8	1.61E-08
166000	1.8	1.61E-08
168000	1.8	1.61E-08
170000	1.8	1.61E-08
172000	1.8	1.61E-08
174000	1.8	1.61E-08
176000	1.8	1.61E-08
178000	1.8	1.61E-08
180000	1.8	1.61E-08
182000	1.8	1.61E-08
184000	1.8	1.61E-08
186000	1.8	1.61E-08
188000	1.8	1.61E-08
190000	1.8	1.61E-08
192000	1.8	1.61E-08
194000	1.8	1.61E-08
196000	1.8	1.61E-08
198000	1.8	1.61E-08
200000	1.8	1.61E-08
202000	1.8	1.61E-08
204000	1.8	1.61E-08
206000	1.8	1.61E-08
